County,Agency
Madison,Madison County Sheriff
Wyoming,Wyoming County Sheriff
Rensselaer,Troy City PD
Otsego,Otsego County Sheriff
Dutchess,Millerton Vg PD
Cattaraugus,County Total
Orange,Highland Falls Vg PD
Steuben,Canisteo Vg PD
Essex,Lake Placid Vg PD
Delaware,Walton Vg PD
Ulster,Shawangunk Town PD
Queens,County Total
Chautauqua,Lakewood-Busti PD
Onondaga,SUNY College-Env. Science and Forestry
Erie,Orchard Park Town PD
Schoharie,County Total
Herkimer,Herkimer County (RR-RC)
Steuben,Hammondsport Vg PD
Niagara,Youngstown Vg PD
Oswego,Oswego City PD
Montgomery,Montgomery County State Police
Rockland,Rockland County Sheriff
Erie,Hamburg Town PD
Clinton,Plattsburgh City PD
Ontario,Naples Town and Vg PD
Niagara,Lockport City PD
Onondaga,Syracuse City PD
Herkimer,Frankfort Town PD
Genesee,Batavia City PD
Monroe,SUNY College at Brockport
Washington,Cambridge Vg PD
Livingston,County Total
Westchester,Eastchester Town PD
St Lawrence,St Lawrence County Park PD
Nassau,Rockville Centre Vg PD
Oneida,Vernon Vg PD
Clinton,Clinton County Park PD
Chautauqua,SUNY College At Fredonia
Otsego,Cooperstown Vg PD
Washington,Washington County (RR-D and H)
Region Total,Region Total
Nassau,Freeport Vg PD
St Lawrence,St Lawrence County Sheriff
Sullivan,Fallsburg Town PD
Steuben,County Total
Erie,Brant Town PD
Jefferson,Glen Park Vg PD
Nassau,Freeport Vg PD
Monroe,Ogden Town PD
Nassau,Laurel Hollow Vg PD
Madison,Oneida City PD
Tompkins,Cornell University Police
Erie,East Aurora-Town Of Aurora PD
Greene,Greene County State Police
Herkimer,Ilion Vg PD
Steuben,Steuben County Sheriff
Dutchess,Hyde Park Town PD
Cattaraugus,Salamanca City PD
Tioga,Owego Vg PD
Chautauqua,Lakewood-Busti PD
Suffolk,Greeport Vg PD
Nassau,Floral Park Vg PD
Nassau,Freeport Vg PD
Fulton,Fulton County State Police
Tompkins,Groton Vg PD
New York,County Total
Wayne,Sodus Point Vg PD
Westchester,Briarcliff Manor Vg PD
Erie,Lackawanna City PD
Westchester,Westchester County (RR-CSX)
Orleans,County Total
Clinton,Clinton County Sheriff
Washington,County Total
Schenectady,Schenectady City PD
Greene,Greene County State Police
Allegany,Wellsville Vg PD
Delaware,Walton Vg PD
Dutchess,Red Hook Vg PD
Schenectady,Scotia Vg PD
Montgomery,County Total
Suffolk,Suffolk County Park Police
Rensselaer,Nassau Vg PD
Steuben,Caton Town PD
Washington,Washington County State Police
Albany,Altamont Vg PD
Lewis,County Total
Westchester,Briarcliff Manor Vg PD
Ulster,Ulster County State Police
Chautauqua,Dunkirk City PD
Jefferson,Adams Vg PD
Tioga,County Total
Orange,Newburgh City PD
Onondaga,Jordan Vg PD
Putnam,Cold Spring Vg PD
Columbia,Greenport Town PD
Schuyler,County Total
Westchester,Pelham Vg PD
New York,County Total
Orange,Highlands Town PD
Niagara,Niagara County State Police
Ulster,SUNY College At New Paltz
Chautauqua,Lakewood-Busti PD
Orange,Middletown City PD
Oneida,Utica City PD
Orleans,Medina Vg PD
Washington,Washington County (RR-D and H)
Erie,Cheektowaga Town PD
Nassau,Long Beach City PD
Sullivan,Sullivan County State Police
Westchester,Lewisboro Town PD
Albany,Cohoes City PD
Ulster,Olive Town PD
Westchester,Ardsley Vg PD
Monroe,Monroe County Park PD
Schenectady,Rotterdam Town PD
Wyoming,Warsaw Vg PD
Greene,Greene County (RR-RC) 
Orange,New Windsor Town PD
Dutchess,Fishkill Vg PD
Nassau,Old Brookville Vg PD
Onondaga,Onondaga County State Police
Washington,Greenwich Vg PD
Chemung,Elmira Heights Vg PD
Albany,Altamont Vg PD
Allegany,Friendship Town PD
Hamilton,County Total
Jefferson,Carthage Vg PD
Jefferson,Clayton Vg PD
Cayuga,County Total
Nassau,Garden City Vg PD
Suffolk,Suffolk County Park PD
Oneida,Oriskany Vg PD
Genesee,Genesee County Sheriff
Albany,Cohoes City PD
Nassau,Oyster Bay Cove Vg PD
Onondaga,Geddes Town PD
Otsego,Oneonta City PD
Livingston,Livingston County State Police
Ulster,Ulster County (RR-RC) 
Schuyler,Schuyler County State Police
Schuyler,Watkins Glen Vg PD
Oneida,Oneida County Sheriff
Lewis,Lewis County State Police
Fulton,Johnstown City PD
Wayne,Newark Vg PD
Allegany,Cuba Town PD
Ontario,Geneva City PD
Orange,Montgomery Vg PD
Columbia,Germantown Town PD
Orange,Cornwall-On-Hudson Vg PD
Rensselaer,Rensselaer County State Police
Livingston,Dansville Vg PD
Westchester,Mount Vernon City PD
Westchester,Greenburgh Town PD
Dutchess,Dutchess County Park PD
Schenectady,Schenectady City PD
Nassau,SUNY College At Old Westbury
Seneca,Seneca County State Police
Broome,Deposit Vg PD
Otsego,Otsego County Sheriff
Oswego,Fulton City PD
Tioga,Owego Vg PD
Wayne,Wayne County Sheriff
Oswego,County Total
Chenango,Chenango County Park PD
Oneida,Oneida County State Police
Rensselaer,North Greenbush Town PD
Westchester,New Rochelle City PD
Albany,Albany County (RR-D and H)
Rensselaer,Rensselaer County State Police
Nassau,Port Washington Police District
Onondaga,Marcellus Vg PD
Tioga,Tioga County Sheriff
Rockland,Piermont Vg PD
Livingston,Nunda Town and Vg PD
Greene,Coxsackie Vg PD
Clinton,Clinton County State Police
Seneca,Seneca County State Police
Oneida,Yorkville Vg PD
Columbia,Germantown Town PD
Suffolk,East Hampton Vg PD
Chenango,County Total
Tompkins,Freeville Vg PD
Chemung,Chemung County Sheriff
Fulton,Fulton County Sheriff
Clinton,Clinton County Park PD
Nassau,Laurel Hollow Vg PD
Schenectady,Rotterdam Town PD
Rensselaer,Schodack Town PD
Madison,County Total
Columbia,Stockport Town PD
Albany,Albany County (RR-D and H)
Orleans,Orleans County State Police
Columbia,Columbia County Park PD
Monroe,Webster Town and Vg PD
Rockland,Suffern Vg PD
Monroe,Monroe County State Police
Erie,Tonawanda City PD
Jefferson,Alexandria Bay Vg PD
Westchester,New Rochelle City PD
Jefferson,Carthage Vg PD
Fulton,County Total
Dutchess,Wappingers Falls Vg PD
Rensselaer,East Greenbush Town PD
Orange,Tuxedo Town PD
Nassau,Floral Park Vg PD
Westchester,Pelham Manor Vg PD
Oneida,Oneida County Sheriff
Westchester,Pelham Manor Vg PD
Westchester,Larchmont Vg PD
Orleans,Orleans County Park PD
Suffolk,Suffolk County Sheriff
Monroe,Rochester City PD
Chautauqua,Chautauqua County Sheriff
Washington,Fort Edward Vg PD
Orange,Greenwood Lake Vg PD
Otsego,County Total
Albany,Colonie Town PD
Cortland,Homer Vg PD
Schenectady,Rotterdam Town PD
Chautauqua,County Total
Cattaraugus,County Total
Columbia,Chatham Vg PD
Monroe,Webster Town and Vg PD
Nassau,Centre Island Vg PD
Columbia,Chatham Vg PD
Oneida,Oneida County Park PD
Lewis,County Total
Greene,Windham Town PD
Oneida,Oneida County Sheriff
Broome,Vestal Town PD
Jefferson,Alexandria Bay Vg PD
Erie,Gowanda Vg PD
Niagara,Niagara County (RR-RC)
Orange,Cornwall Town PD
Orange,Goshen Town PD
Chautauqua,Silver Creek Vg PD
Ulster,Ulster County State Police
Oneida,Sherrill City PD
Oneida,Oriskany Vg PD
Ontario,Geneva City PD
Rockland,Ramapo Town PD
Livingston,Dansville Vg PD
Westchester,New Rochelle City PD
Livingston,Livingston County Park PD
Wayne,Palmyra Vg PD
Westchester,Westchester County State Police
Tompkins,Freeville Vg PD
St Lawrence,St Lawrence County (RR-RC)
Nassau,Rockville Centre Vg PD
Wyoming,Attica Vg PD
Sullivan,Liberty Vg PD
Saratoga,Waterford Town and Vg PD
Otsego,Otsego County State Police
Tioga,Owego Vg PD
Erie,Depew Vg PD
Dutchess,County Total
Washington,County Total
Allegany,Andover Vg PD
Lewis,Lewis County State Police
Erie,Evans Town PD
Erie,Orchard Park Town PD
Putnam,Putnam County Sheriff
Ontario,Shortsville Vg PD
Sullivan,Monticello Vg PD
Genesee,Genesee County Sheriff
Jefferson,Jefferson County Park PD
Livingston,Nunda Town and Vg PD
Nassau,Rockville Centre Vg PD
Chenango,Chenango County Park PD
Wayne,Sodus Vg PD
Oneida,County Total
Westchester,Larchmont Vg PD
Monroe,Fairport Vg PD
Monroe,East Rochester Vg PD
Nassau,Freeport Vg PD
Erie,Lancaster Town PD
Onondaga,Liverpool Vg PD
Niagara,Niagara Town PD
Oswego,Oswego County (RR-CSX)
Jefferson,Black River Vg PD
Dutchess,Fishkill Town PD
Essex,Essex County State Police
Rensselaer,Troy City PD
Cattaraugus,Olean City PD
Chautauqua,SUNY College At Fredonia
Oneida,SUNY College At Utica/Rome
Franklin,Franklin County State Police
Columbia,County Total
Orange,Orange County Park PD
Oneida,Whitesboro Vg PD
Erie,Lancaster Town PD
Schoharie,SUNY College at Cobleskill
Erie,Erie County State Police
Herkimer,Dolgeville Vg PD
Ulster,Olive Town PD
Orange,County Total
Chautauqua,Chautauqua County Sheriff
Ulster,Marlborough Town PD
Erie,Erie County State Police
Franklin,Tupper Lake Vg PD
Nassau,Hempstead Vg PD
Delaware,Colchester Town PD
Jefferson,Brownville Vg PD
Delaware,Colchester Town PD
Columbia,County Total
Livingston,Livingston County Park PD
Ulster,Kingston City PD
Westchester,Pelham Vg PD
Ulster,New Paltz Town and Vg PD
Putnam,Kent Town PD
Oneida,Whitestown Town PD
Jefferson,Watertown City PD
Herkimer,Ilion Vg PD
Schenectady,Schenectady City PD
Schenectady,Schenectady County Sheriff
Chautauqua,Chautauqua County Sheriff
Niagara,Middleport Vg PD
Oneida,Utica City PD
Tompkins,Tompkins County State Police
Rensselaer,Rensselaer City PD
Schenectady,Schenectady County (RR-D and H)
Montgomery,Montgomery County State Police
Tioga,Waverly Vg PD
Albany,Bethlehem Town PD
Erie,Erie County Park PD
Allegany,Wellsville Vg PD
Richmond,County Total
Cortland,Cortland City PD
Essex,Ticonderoga Town PD
Erie,Erie County State Police
Westchester,Ossining Town PD
Schoharie,SUNY College At Cobleskill
Ulster,Lloyd Town PD
Rockland,Ramapo Town PD
Washington,Washington County Sheriff
Erie,County Total
Ulster,County Total
Saratoga,Saratoga County State Police
Herkimer,Webb Town PD
Madison,Hamilton Vg PD
Delaware,SUNY College At Delhi
Rockland,Suffern Vg PD
Allegany,Rushford Town PD
Herkimer,Herkimer County Sheriff
Dutchess,Dutchess County Park PD
Oneida,Oneida County Park PD
Rensselaer,Nassau Vg PD
Jefferson,County Total
Albany,Cohoes City PD
Greene,Athens Vg PD
Westchester,New Rochelle City PD
Onondaga,East Syracuse Vg PD
Cattaraugus,Franklinville Vg PD
Saratoga,Saratoga County Sheriff
Cattaraugus,Ellicottville Town PD
Orange,Greenwood Lake Vg PD
Steuben,Canisteo Vg PD
Broome,Port Dickinson Vg PD
Westchester,Westchester County State Police
Chautauqua,Silver Creek Vg PD
Lewis,County Total
Wayne,Wayne County State Police
Erie,Buffalo City PD
Madison,Madison County Park PD
Wayne,Wayne County State Police
Albany,Coeymans Town PD
Bronx,County Total
Columbia,Germantown Town PD
Dutchess,Rhinebeck Vg PD
Oneida,Camden Vg PD
Westchester,SUNY College At Purchase
Ulster,New Paltz Town and Vg PD
Broome,Broome County State Police
Westchester,SUNY College at Purchase
Steuben,Wayland Vg PD
Suffolk,SUNY College At Farmingdale
Westchester,Irvington Vg PD
Orange,New Windsor Town PD
Clinton,Clinton County Park PD
Steuben,Bath Vg PD
Erie,Lackawanna City PD
Onondaga,Manlius Town PD
Chemung,Elmira Town PD
Montgomery,County Total
Onondaga,SUNY - Upstate Medical Center
Nassau,Kings Point Vg PD
Westchester,Irvington Vg PD
St Lawrence,SUNY College At Potsdam
Essex,Lake Placid Vg PD
Madison,Madison County State Police
Chenango,Norwich City PD
Livingston,County Total
Westchester,Westchester County Park PD
Columbia,County Total
Nassau,Old Brookville Vg PD
Steuben,Corning City PD
Dutchess,Poughkeepsie City PD
Richmond,County Total
Oswego,Oswego County Park PD
Essex,Essex County (RR-D and H)
Saratoga,South Glens Falls Vg PD
Madison,County Total
Washington,County Total
Jefferson,Watertown City PD
New York,County Total
Putnam,Cold Spring Vg PD
Schuyler,Watkins Glen Vg PD
St Lawrence,SUNY College At Canton
Suffolk,SUNY College at Farmingdale
Onondaga,Onondaga County Park Rangers
Westchester,Bedford Town PD
Westchester,Croton-Kensico PCT (NYC-BWSP)
Onondaga,Marcellus Vg PD
Orange,Newburgh Town PD
Essex,Moriah Town PD
Madison,SUNY College At Morrisville
Orange,Florida Vg PD
Hamilton,Hamilton County Sheriff
Delaware,County Total
Fulton,Fulton County State Police
Columbia,Germantown Town PD
Steuben,Corning City PD
Orange,Highlands Town PD
Allegany,Alfred Vg PD
Essex,County Total
Chautauqua,Chautauqua County State Police
Warren,Warren County State Police
Oswego,Oswego County Sheriff
Suffolk,Riverhead Town PD
St Lawrence,County Total
Orange,Blooming Grove Town PD
Suffolk,Westhampton Beach Vg PD
Warren,Warren County State Police
Broome,Special Investigator Task Force
Erie,Evans Town PD
Suffolk,East Hampton Vg PD
Erie,West Seneca Town PD
Erie,East Aurora-Town Of Aurora PD
St Lawrence,St Lawrence County State Police
Ontario,Geneva City PD
Erie,Erie County Park PD
Rockland,Piermont Vg PD
Monroe,Brockport Vg PD
Cattaraugus,County Total
Nassau,Lake Success Vg PD
Monroe,Fairport Vg PD
Westchester,New Castle Town PD
Chemung,Elmira Heights Vg PD
Saratoga,Mechanicville City PD
Madison,Hamilton Vg PD
Westchester,Yonkers City PD
Genesee,Genesee County Sheriff
St Lawrence,Ogdensburg City PD
Sullivan,Woodridge Vg PD
Westchester,Ossining Vg PD
Putnam,Brewster Vg PD
Cattaraugus,County Total
Rensselaer,Rensselaer County Park PD
Oneida,County Total
Nassau,Kings Point Vg PD
Chenango,County Total
Columbia,County Total
Onondaga,Baldwinsville Vg PD
Rockland,Orangetown Town PD
Albany,Albany County State Police
Dutchess,Poughkeepsie City PD
Onondaga,Onondaga County Sheriff
Orange,County Total
Allegany,Wellsville Vg PD
Westchester,Sleepy Hollow Vg PD
Chautauqua,Dunkirk City PD
Tompkins,County Total
Ulster,Saugerties Vg PD
Ulster,SUNY College at New Paltz
Otsego,Oneonta City PD
Columbia,Chatham Vg PD
Westchester,Mamaroneck Town PD
Chenango,Chenango County State Police
Dutchess,Pine Plains Town PD
Suffolk,Head-of-the-Harbor Vg PD
Suffolk,Amityville Vg PD
Franklin,County Total
Broome,County Total
Albany,SUNY - Albany
Dutchess,Dutchess County State Police
Franklin,Tupper Lake Vg PD
Erie,Evans Town PD
Tompkins,Cayuga Heights Vg PD
Washington,Hudson Falls Vg PD
Chautauqua,SUNY College At Fredonia
Oswego,Oswego County Park PD
Westchester,Tuckahoe Vg PD
Niagara,Niagara Town PD
Chemung,Elmira Heights Vg PD
Monroe,Monroe County State Police
Steuben,County Total
Oswego,Pulaski Vg PD
Allegany,Belmont Vg PD
Nassau,Floral Park Vg PD
Ontario,Geneva City PD
Schuyler,Schuyler County Park PD
Cortland,Homer Vg PD
Saratoga,Saratoga County State Police
Broome,Broome County (RR-RC) 
Delaware,SUNY College At Delhi
Saratoga,Saratoga County State Police
Cortland,Cortland County State Police
Schoharie,SUNY College At Cobleskill
Schenectady,Niskayuna Town PD
Suffolk,Suffolk County PD
Nassau,Nassau County Park PD
Westchester,Buchanan Vg PD
Schenectady,Schenectady County (RR-D and H)
Westchester,Mount Vernon City PD
Greene,Catskill Vg PD
Greene,Durham Town PD
Sullivan,Liberty Vg PD
Wayne,County Total
Onondaga,Onondaga County Park PD
Essex,Essex County State Police
Wayne,County Total
Steuben,Cohocton Town PD
Saratoga,Mechanicville City PD
Livingston,County Total
Delaware,Walton Vg PD
Suffolk,SUNY - Stony Brook
Albany,Guilderland Town PD
Nassau,Lynbrook Vg PD
Ulster,Olive Town PD
Rensselaer,Rensselaer Poly Tech Police
Jefferson,Jefferson County State Police
Westchester,New Rochelle City PD
Cayuga,Cayuga County (RR-RC)
Clinton,Clinton County State Police
Herkimer,Webb Town PD
St Lawrence,St Lawrence County State Police
Columbia,Stockport Town PD
Sullivan,Sullivan County State Police
Madison,Madison County (RR-CSX)
Chemung,Horseheads Vg PD
Suffolk,SUNY College At Farmingdale
Cattaraugus,Portville Vg PD
Schenectady,Glenville Town PD
Westchester,Elmsford Vg PD
Cattaraugus,Franklinville Vg PD
Steuben,Hornell City PD
Westchester,Yonkers City PD
Steuben,Hammondsport Vg PD
Monroe,Gates Town PD
Cayuga,Cayuga County Sheriff
Westchester,Pound Ridge Town PD
Albany,Albany City PD
Franklin,Malone Vg PD
Suffolk,Suffolk County Park Police
Ontario,Manchester Vg PD
Cattaraugus,Cattaraugus County Sheriff
Columbia,Chatham Vg PD
Herkimer,Herkimer County (RR-CSX)
Orange,Blooming Grove Town PD
Saratoga,Saratoga County Sheriff
Onondaga,Marcellus Vg PD
Tioga,Owego Vg PD
Cayuga,Cayuga County Park PD
Steuben,Canisteo Vg PD
Chautauqua,Westfield Vg PD
Saratoga,County Total
Montgomery,St Johnsville Vg PD
Ulster,New Paltz Town and Vg PD
Nassau,Freeport Vg PD
Wayne,Sodus Vg PD
Orange,Wallkill Town PD
Oneida,County Total
Niagara,County Total
Dutchess,Red Hook Vg PD
Schuyler,Schuyler County Sheriff
Allegany,Allegany County Sheriff
Jefferson,Jefferson County Sheriff
Orange,Highland Falls Vg PD
Monroe,Greece Town PD
Ulster,Rosendale Town PD
Clinton,Clinton County State Police
Rockland,Suffern Vg PD
Otsego,Otsego County State Police
Albany,Colonie Town PD
Erie,Hamburg Vg PD
Monroe,County Total
Washington,Cambridge Vg PD
Chautauqua,Chautauqua County State Police
Rockland,County Total
Warren,Bolton Town PD
Suffolk,Westhampton Beach Vg PD
Herkimer,Herkimer County State Police
Delaware,Delhi Vg PD
Allegany,SUNY College at Alfred
Monroe,Monroe County Sheriff
Livingston,County Total
Cattaraugus,Olean City PD
Westchester,Briarcliff Manor Vg PD
Schenectady,Schenectady City PD
Monroe,Monroe County State Police
Jefferson,West Carthage Vg PD
Suffolk,Lloyd Harbor Vg PD
Tioga,Tioga County State Police
Rensselaer,Rensselaer City PD
Livingston,Geneseo Vg PD
Saratoga,Saratoga County Sheriff
Oswego,Central Square Vg PD
Putnam,Putnam County State Police
Suffolk,Southampton Vg PD
Rockland,Haverstraw Town PD
Rockland,County Total
Chemung,Elmira Town PD
Orleans,Orleans County Sheriff
Westchester,White Plains City PD
Saratoga,Saratoga Springs City PD
Erie,Akron Vg PD
Chautauqua,Chautauqua County State Police
Suffolk,Suffolk County Park PD
Westchester,County Total
Greene,Hunter Town PD
Onondaga,Cicero Town PD
Westchester,Bronxville Vg PD
Erie,Lackawanna City PD
Clinton,County Total
Schoharie,Schoharie County Sheriff
Oneida,Whitesboro Vg PD
Nassau,Rockville Centre Vg PD
Columbia,Philmont Vg PD
Ulster,Saugerties Town PD
Niagara,Youngstown Vg PD
Rensselaer,Rensselaer County Sheriff
Cattaraugus,Salamanca City PD
Oneida,Rome City PD
Orange,Tuxedo Town PD
St Lawrence,Gouverneur Vg PD
Westchester,Ardsley Vg PD
Oneida,Waterville Vg PD
Columbia,Columbia County Park PD
Allegany,Independence Town PD
Onondaga,Onondaga County (RR-RC)
Cattaraugus,Franklinville Vg PD
Oneida,Rome City PD
Chautauqua,Fredonia Vg PD
Suffolk,Amityville Vg PD
Warren,Warren County Sheriff
Madison,Madison County Sheriff
Oswego,County Total
Onondaga,Camillus Town and Vg PD
Schenectady,Schenectady County Sheriff
Schoharie,SUNY College at Cobleskill
Allegany,Andover Vg PD
Westchester,Rye City PD
Albany,Altamont Vg PD
Nassau,Hempstead Vg PD
Hamilton,County Total
St Lawrence,SUNY College At Canton
Tompkins,Dryden Vg PD
Albany,Guilderland Town PD
Rockland,County Total
Chautauqua,Fredonia Vg PD
Saratoga,Saratoga County Park PD
Broome,Deposit Vg PD
Putnam,Cold Spring Vg PD
Orange,Tuxedo Park Vg PD
Westchester,Yorktown Town PD
Westchester,Rye Brook Vg PD
Herkimer,Herkimer County State Police
Madison,Oneida City PD
Jefferson,Clayton Vg PD
Albany,County Total
Nassau,Rockville Centre Vg PD
Suffolk,East Hampton Vg PD
Chautauqua,Chautauqua County State Police
Oneida,Utica City PD
Monroe,Fairport Vg PD
Rensselaer,Troy City PD
Westchester,North Castle Town PD
Allegany,Alfred Vg PD
Orange,Chester Town PD
Warren,Warren County Sheriff
Cayuga,Weedsport Vg PD
Essex,Essex County (RR-D and H)
Rockland,Ramapo Town PD
Orange,Goshen Vg PD
St Lawrence,Canton Vg PD
Steuben,County Total
Seneca,Seneca County Park PD
Greene,Greene County Sheriff
Delaware,Hancock Vg PD
Queens,County Total
Ontario,Ontario County Sheriff
Orange,Goshen Town PD
Clinton,Clinton County Park PD
Cortland,Mcgraw Vg PD
Tioga,Waverly Vg PD
Otsego,County Total
Oswego,Oswego County State Police
Putnam,Putnam County State Police
Oneida,Vernon Vg PD
Erie,Erie County State Police
Rockland,Stony Point Town PD
Putnam,Putnam County Park PD
Chautauqua,Westfield Vg PD
Allegany,Cuba Town PD
Suffolk,Asharoken Vg PD
Monroe,Monroe County State Police
Warren,Warren County State Police
Albany,Albany City PD
Greene,Windham Town PD
Chenango,Chenango County Sheriff
Fulton,Northville Vg PD
Dutchess,Millbrook Vg PD
Herkimer,County Total
Putnam,Putnam County Park PD
Wayne,Wayne County State Police
Westchester,Pound Ridge Town PD
Tompkins,Groton Vg PD
Oswego,Oswego City PD
Wyoming,Wyoming County Park PD
Cattaraugus,Salamanca City PD
Schuyler,Schuyler County Sheriff
Chautauqua,Westfield Vg PD
Niagara,Youngstown Vg PD
